종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 C 202007 200.0,"67.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 202.5,"65.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 205.0,"62.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 207.5,"60.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 210.0,"57.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 212.5,"55.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 215.0,"52.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 217.5,"50.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 220.0,"47.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 222.5,"45.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 225.0,"42.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 227.5,"40.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 230.0,"37.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 232.5,"35.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 235.0,"33.15",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202007 237.5,"30.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 240.0,"28.50",0.00,"0.00","0.00","0.00","0","204",0
코스피200 C 202007 242.5,"26.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 245.0,"24.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 247.5,"22.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202007 250.0,"19.20",1.45,"18.40","19.20","18.30","22","2,290",2
코스피200 C 202007 252.5,"17.95",0.00,"0.00","0.00","0.00","0","13",0
코스피200 C 202007 255.0,"15.70",0.00,"0.00","0.00","0.00","0","204",0
코스피200 C 202007 257.5,"14.00",0.00,"0.00","0.00","0.00","0","23",0
코스피200 C 202007 260.0,"11.80",0.30,"12.10","12.35","10.60","28","483",2
코스피200 C 202007 262.5,"10.25",0.25,"9.72","10.50","9.08","32","68",2
코스피200 C 202007 265.0,"8.88",0.32,"8.11","8.88","7.60","22","1,738",2
코스피200 C 202007 267.5,"7.28",0.17,"6.99","7.50","6.29","70","358",2
코스피200 C 202007 270.0,"6.11",0.16,"5.65","6.16","5.11","298","2,366",2
코스피200 C 202007 272.5,"4.73",0.36,"4.54","5.01","4.04","120","877",2
코스피200 C 202007 275.0,"3.74",0.28,"3.65","3.96","3.15","691","1,260",2
코스피200 C 202007 277.5,"3.06",0.11,"2.79","3.13","2.47","425","2,716",2
코스피200 C 202007 280.0,"2.40",0.04,"2.15","2.44","1.90","595","2,629",2
코스피200 C 202007 282.5,"1.85",0.02,"1.60","1.85","1.44","280","1,808",1
코스피200 C 202007 285.0,"1.40",0.00,"1.27","1.40","1.09","919","2,660",3
코스피200 C 202007 287.5,"1.05",0.00,"0.90","1.05","0.80","351","2,235",3
코스피200 C 202007 290.0,"0.76",0.00,"0.68","0.78","0.60","1,133","2,077",3
코스피200 C 202007 292.5,"0.57",0.00,"0.48","0.57","0.44","1,563","1,607",3
코스피200 C 202007 295.0,"0.42",0.00,"0.36","0.42","0.33","805","1,056",3
코스피200 C 202007 297.5,"0.31",0.01,"0.28","0.31","0.25","318","758",1
코스피200 C 202007 300.0,"0.23",0.02,"0.20","0.23","0.19","68","915",1
코스피200 C 202007 302.5,"0.17",0.02,"0.15","0.17","0.14","238","388",1
코스피200 C 202007 305.0,"0.13",0.01,"0.12","0.13","0.11","62","567",1
코스피200 C 202007 307.5,"0.10",0.00,"0.10","0.10","0.09","54","467",3
코스피200 C 202007 310.0,"0.08",0.01,"0.07","0.08","0.07","11","352",1
코스피200 C 202007 312.5,"0.06",0.00,"0.06","0.06","0.05","8","263",3
코스피200 C 202007 315.0,"0.05",0.00,"0.05","0.05","0.05","2","247",3
코스피200 C 202007 317.5,"0.04",0.01,"0.05","0.05","0.04","6","25",2
코스피200 C 202007 320.0,"0.04",0.00,"0.04","0.04","0.04","4","208",3
코스피200 C 202007 322.5,"0.03",0.00,"0.03","0.03","0.03","2","22",3
코스피200 C 202007 325.0,"0.02",0.01,"0.02","0.02","0.02","4","3",2
코스피200 C 202007 327.5,"0.02",0.00,"0.00","0.00","0.00","0","21",0
코스피200 C 202007 330.0,"0.02",0.00,"0.00","0.00","0.00","0","17",0
코스피200 C 202007 332.5,"0.02",0.00,"0.02","0.02","0.02","2","23",3
코스피200 C 202007 335.0,"0.02",0.00,"0.02","0.02","0.02","2","14",3
코스피200 C 202007 337.5,"0.01",0.00,"0.00","0.00","0.00","0","91",0
코스피200 C 202007 340.0,"0.01",0.00,"0.00","0.00","0.00","0","176",0
코스피200 C 202007 342.5,"0.01",0.00,"0.01","0.01","0.01","2","171",3
코스피200 C 202007 345.0,"0.01",0.00,"0.02","0.02","0.01","18","1,187",3
