종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202008 197.5,"0.79",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 200.0,"0.78",0.10,"0.78","0.78","0.77","7","56",2
코스피200 P 202008 202.5,"0.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 205.0,"1.07",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 207.5,"1.08",0.10,"1.08","1.08","1.08","1","4",2
코스피200 P 202008 210.0,"1.15",0.22,"1.29","1.29","1.15","17","143",2
코스피200 P 202008 212.5,"1.41",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 215.0,"1.34",0.18,"1.52","1.52","1.34","10","22",2
코스피200 P 202008 217.5,"1.68",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 220.0,"1.74",0.20,"1.66","1.74","1.65","6","140",2
코스피200 P 202008 222.5,"2.08",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 225.0,"2.29",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 227.5,"2.67",0.00,"0.00","0.00","0.00","0","87",0
코스피200 P 202008 230.0,"2.55",0.41,"2.55","2.55","2.55","1","10",2
코스피200 P 202008 232.5,"3.48",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 235.0,"4.01",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 237.5,"4.53",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 240.0,"3.92",1.36,"4.00","4.00","3.92","2","5",2
코스피200 P 202008 242.5,"6.03",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 245.0,"6.78",0.00,"0.00","0.00","0.00","0","3",0
코스피200 P 202008 247.5,"7.59",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 250.0,"8.60",0.00,"0.00","0.00","0.00","0","3",0
코스피200 P 202008 252.5,"9.62",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 255.0,"10.65",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202008 257.5,"11.75",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 260.0,"13.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 262.5,"14.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 265.0,"15.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 267.5,"16.95",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 270.0,"18.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 272.5,"20.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 275.0,"21.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 277.5,"23.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 280.0,"25.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 282.5,"26.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 285.0,"28.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 287.5,"30.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 290.0,"32.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 292.5,"34.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 295.0,"36.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 297.5,"38.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 300.0,"40.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 302.5,"42.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 305.0,"45.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 307.5,"47.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 310.0,"49.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 312.5,"51.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 315.0,"54.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 317.5,"56.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 320.0,"58.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 322.5,"61.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 325.0,"63.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 327.5,"65.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 330.0,"68.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 332.5,"70.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 335.0,"72.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 337.5,"75.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 340.0,"77.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 342.5,"80.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 160.0,"0.32",0.04,"0.32","0.35","0.31","161","1,441",2
코스피200 P 202009 162.5,"0.39",0.00,"0.00","0.00","0.00","0","61",0
코스피200 P 202009 165.0,"0.42",0.00,"0.00","0.00","0.00","0","85",0
코스피200 P 202009 167.5,"0.46",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 170.0,"0.50",0.00,"0.00","0.00","0.00","0","146",0
