종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202007 267.5,"8.72",1.12,"8.45","8.74","8.05","37","213",1
코스피200 P 202007 270.0,"10.20",1.60,"9.77","10.20","9.77","5","997",1
코스피200 P 202007 272.5,"10.80",1.05,"10.20","10.80","10.20","4","34",1
코스피200 P 202007 275.0,"13.10",0.50,"12.45","13.10","12.45","3","36",1
코스피200 P 202007 277.5,"13.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 280.0,"14.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 282.5,"16.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 285.0,"18.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 287.5,"20.20",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202007 290.0,"22.45",0.00,"0.00","0.00","0.00","0","4",0
코스피200 P 202007 292.5,"24.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 295.0,"27.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 297.5,"29.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 300.0,"34.80",0.70,"34.80","34.80","34.80","1","2",1
코스피200 P 202007 302.5,"34.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 305.0,"37.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 307.5,"39.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 310.0,"42.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 312.5,"44.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 315.0,"47.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 317.5,"49.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 320.0,"52.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 322.5,"54.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 325.0,"57.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 327.5,"59.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 330.0,"62.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 332.5,"64.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 335.0,"67.25",0.00,"0.00","0.00","0.00","0","0",0
