Date,High,Low,Open,Close,Volume
2009-03-10,12728.081777593028,12408.016338473395,12408.016338473395,12710.5439453125,552.0
2009-03-11,13091.993356205629,12802.619089122718,12802.619089122718,12969.228515625,7769.0
2009-03-12,13267.37110492198,12877.154307718392,12969.227934024857,13030.6103515625,5001033.0
2009-03-13,13328.754180602005,13070.071122491638,13188.451505016721,13109.53125,2079.0
2009-03-16,13254.217785607527,12960.459071867632,13078.839449046396,13017.45703125,2371.0
2009-03-17,13539.20389585362,13127.064917158594,13162.140574919873,13508.5126953125,2903368.0
2009-03-18,13600.59269724729,13420.829866626033,13552.363645129391,13543.5947265625,3102.0
2009-03-19,13718.970005170037,13416.4423828125,13675.125422219668,13416.4423828125,5189.0
2009-03-20,13644.433408943616,13469.055087491899,13508.515209818535,13530.4375,3552.0
2009-03-23,13898.732803940737,13626.896389478803,13806.6591796875,13806.6591796875,15515.0
2009-03-24,14117.9560546875,13925.039884996118,14030.266886645963,14117.9560546875,10516.0
2009-03-25,14192.490234375,14052.187581455632,14060.956497263092,14192.490234375,31.0
2009-03-26,14381.025309917355,14034.653053977272,14082.882102272728,14324.02734375,1770.0
2009-03-27,15170.224220187001,14280.17927316447,14376.637346240803,14302.1015625,1302377.0
2009-03-30,14407.331567429257,13828.5830078125,14315.257932944773,13828.5830078125,1966.0
2009-03-31,14205.645156151977,13903.117527826518,13903.117527826518,13977.6533203125,1409.0
2009-04-01,14249.490005592463,13811.044159266541,13938.193454701059,14148.6474609375,10274.0
2009-04-02,14687.9371112485,14381.024992505996,14381.024992505996,14626.5546875,672.0
2009-04-03,14828.236179265828,14670.395699533845,14670.395699533845,14784.3916015625,324.0
2009-04-06,15130.765520829507,14880.851398926497,14880.851398926497,14920.3115234375,1100581.0
2009-04-07,14920.311940445206,14758.086979588177,14902.774106839042,14898.3896484375,3463.0
2009-04-08,15696.360864390901,14477.4814453125,15696.360864390901,14477.4814453125,1789.0
2009-04-09,15608.674240692657,14477.483804148076,15608.674240692657,14986.0810546875,11704245.0
2009-04-10,15367.526097548056,15038.691730268141,15038.691730268141,15196.5322265625,1866.0
2009-04-13,15411.368074130793,15135.147252318491,15314.91000937094,15187.7607421875,761.0
2009-04-14,17463.29511954947,15043.07445522828,17463.29511954947,15227.2216796875,751653.0
2009-04-15,15117.6123046875,14858.929263511003,15008.000846561867,15117.6123046875,253197.0
2009-04-16,15542.90740064538,14731.782472826088,15135.152707201087,15126.3837890625,206631.0
2009-04-17,15442.060745239258,15007.999412536621,15192.146644592285,15152.6865234375,1801419.0
2009-04-20,17406.297399762032,14924.694294405532,17406.297399762032,15257.9130859375,457.0
2009-04-21,15200.9130859375,14841.387596163378,14986.0746835115,15200.9130859375,1105.0
2009-04-22,15389.447265625,15196.531117565883,15196.531117565883,15389.447265625,1330.0
2009-04-23,15542.901421795166,15433.289987226795,15542.901421795166,15446.443359375,3159.0
2009-04-24,15560.439984375,15345.6015625,15560.439984375,15345.6015625,387.0
2009-04-27,15494.677945386777,15143.921229022617,15393.83538943208,15218.45703125,239.0
2009-04-28,15292.989975192535,14788.77728965723,15218.454186896011,14801.930664062498,5743.0
2009-04-30,15582.364548561789,15126.380892666903,15126.380892666903,15433.29296875,1330.0
2009-05-04,15805.976927050808,15613.060703808023,15613.060703808023,15797.208007812498,3301463.0
2009-05-06,15854.201833100558,15617.44107563722,15801.588331442039,15696.361328125,2505259.0
2009-05-07,15928.732674495086,15687.587533537962,15766.507761487566,15779.6611328125,1300747.0
2009-05-08,16240.036269552784,15656.903217757288,16240.036269552784,15906.8173828125,2500690.0
2009-05-11,15959.427643369176,15784.049317617866,15862.969564205956,15902.4296875,1700263.0
2009-05-12,15845.433090032238,15784.050670757071,15845.433090032238,15810.357421875,89.0
2009-05-13,15898.04152835408,15757.738900414939,15832.274671507608,15849.8125,501721.0
2009-05-14,15941.890159917633,15477.137586498693,15849.816536881806,15503.4443359375,1550571.0
2009-05-15,15700.742652959261,15560.44000987222,15648.12916180162,15665.6669921875,100565.0
2009-05-18,15665.669856237644,15319.297642791584,15665.669856237644,15525.3671875,3500170.0
2009-05-19,16073.426005747127,15696.36254789272,15696.36254789272,16020.8125,6603418.0
2009-05-20,16126.036547844917,16012.040639676356,16051.500761734702,16104.1142578125,1750398.0
2009-05-21,16033.96073632436,15919.96484375,16033.96073632436,15919.96484375,300062.0
2009-05-22,16060.267593371027,15674.435338875628,15779.662317374374,15727.048828125,750560.0
2009-05-25,15779.66933325072,14784.397052437183,15648.135551645406,15617.4443359375,5188589.0
2009-05-26,15762.12618801193,15288.604733685006,15762.12618801193,15389.447265625,256726.0
2009-05-27,15652.514286435884,15257.9130859375,15507.827179586477,15257.9130859375,10609.0
2009-05-28,15542.9072265625,15214.072800048483,15332.453193593528,15542.9072265625,1081.0
2009-05-29,15727.048828125,15551.67053062709,15556.05498806454,15727.048828125,4406161.0
2009-06-01,15854.202370629857,15670.055108581611,15670.055108581611,15801.5888671875,1001524.0
2009-06-02,16134.811782900193,15858.5908203125,16134.811782900193,15858.5908203125,2953530.0
2009-06-03,16003.272023912294,15775.280203297652,16003.272023912294,15871.73828125,2150343.0
2009-06-04,15762.123714206513,15507.8251953125,15762.123714206513,15507.8251953125,4602262.0
2009-06-05,15670.052734375,15503.443332050923,15542.903453653995,15670.052734375,3502271.0
2009-06-08,15801.587366829892,15613.0556640625,15670.053620713106,15613.0556640625,1000851.0
2009-06-09,15757.739992596578,15406.9833984375,15691.97313119175,15406.9833984375,851748.0
2009-06-10,15805.97265625,15564.827442354368,15630.594318871359,15805.97265625,550147.0
2009-06-11,16134.80747615804,15832.279835980076,15832.279835980076,16090.962890625,4800376.0
2009-06-12,16134.80522260274,15994.502568493152,16090.960643193494,16003.271484375,2300335.0
2009-06-15,16029.579393290998,15735.820689967559,16029.579393290998,15880.5078125,600235.0
2009-06-16,15713.897166105498,15538.5188495195,15538.5188495195,15626.2080078125,200502.0
2009-06-17,15639.363415244741,15494.676285246682,15626.210039790372,15529.751953125,234955.0
2009-06-18,15564.828768486414,15477.139592325926,15512.215262790121,15490.29296875,900.0
2009-06-19,15534.134012348288,15398.2158203125,15477.136060849409,15398.2158203125,103.0
2009-06-22,15696.361328125,15507.829613848638,15507.829613848638,15696.361328125,22.0
